record_type,age_category,gender,weight_class,snatch_record,cj_record,total_record
UMWF,Masters 40,women,69kg,77,100,172
UMWF,Masters 40,women,77kg,76,92,165
UMWF,Masters 40,women,86kg,86,105,191
UMWF,Masters 40,women,86+kg,85,109,193
UMWF,Masters 45,women,48kg,54,65,119
UMWF,Masters 45,women,53kg,51,70,121
UMWF,Masters 45,women,58kg,68,81,146
UMWF,Masters 45,women,63kg,71,86,157
UMWF,Masters 45,women,69kg,74,91,163
UMWF,Masters 45,women,77kg,76,92,168
UMWF,Masters 45,women,86kg,76,90,166
UMWF,Masters 45,women,86+kg,74,94,164
UMWF,Masters 50,women,48kg,40,52,92
UMWF,Masters 50,women,53kg,61,75,136
UMWF,Masters 50,women,58kg,60,78,138
UMWF,Masters 50,women,63kg,65,87,152
UMWF,Masters 50,women,69kg,59,75,134
UMWF,Masters 50,women,77kg,71,91,162
UMWF,Masters 50,women,86kg,68,82,150
UMWF,Masters 50,women,86+kg,58,74,131
UMWF,Masters 55,women,48kg,26,32,58
UMWF,Masters 55,women,53kg,37,47,84
UMWF,Masters 55,women,58kg,58,71,129
UMWF,Masters 55,women,63kg,65,78,143
UMWF,Masters 55,women,69kg,44,60,104
UMWF,Masters 55,women,77kg,57,80,134
UMWF,Masters 55,women,86kg,52,68,119
UMWF,Masters 55,women,86+kg,52,72,123
UMWF,Masters 60,women,48kg,33,45,78
UMWF,Masters 60,women,53kg,37,42,79
UMWF,Masters 60,women,58kg,39,53,92
UMWF,Masters 60,women,63kg,47,57,103
UMWF,Masters 60,women,69kg,48,64,112
UMWF,Masters 60,women,77kg,54,63,117
UMWF,Masters 60,women,86kg,51,61,112
UMWF,Masters 60,women,86+kg,53,62,115
UMWF,Masters 65,women,48kg,32,40,72
UMWF,Masters 65,women,53kg,25,35,60
UMWF,Masters 65,women,58kg,34,42,76
UMWF,Masters 65,women,63kg,33,42,75
UMWF,Masters 65,women,69kg,41,52,93
UMWF,Masters 65,women,77kg,26,32,58
UMWF,Masters 65,women,86kg,39,50,87
UMWF,Masters 65,women,86+kg,41,50,91
UMWF,Masters 70,women,48kg,15,19,34
UMWF,Masters 70,women,53kg,16,20,36
UMWF,Masters 70,women,58kg,30,36,66
UMWF,Masters 70,women,63kg,33,41,74
UMWF,Masters 70,women,69kg,48,58,106
UMWF,Masters 70,women,77kg,25,38,63
UMWF,Masters 70,women,86kg,22,27,49
UMWF,Masters 70,women,86+kg,23,32,55
UMWF,Masters 75,women,48kg,22,28,48
UMWF,Masters 75,women,53kg,13,17,30
UMWF,Masters 75,women,58kg,14,17,31
UMWF,Masters 75,women,63kg,14,17,31
UMWF,Masters 75,women,69kg,14,18,32
UMWF,Masters 75,women,77kg,15,19,34
UMWF,Masters 75,women,86kg,15,20,35
UMWF,Masters 75,women,86+kg,16,20,36
UMWF,Masters 80,women,48kg,13,17,30
UMWF,Masters 80,women,53kg,13,17,30
UMWF,Masters 80,women,58kg,13,17,30
UMWF,Masters 80,women,63kg,13,17,30
UMWF,Masters 80,women,69kg,13,17,30
UMWF,Masters 80,women,77kg,13,17,30
UMWF,Masters 80,women,86kg,13,17,30
UMWF,Masters 80,women,86+kg,13,17,30
